region,price,year,manufacturer,model,cylinders,fuel,odometer
auburn,35990,2010.0,chevrolet,corvette grand sport,8 cylinders,gas,32742.0
auburn,7500,2014.0,hyundai,sonata,4 cylinders,gas,93600.0
auburn,4900,2006.0,bmw,x3 3.0i,6 cylinders,gas,87046.0
birmingham,34990,2015.0,chevrolet,silverado 2500 hd crew,8 cylinders,gas,85747.0
birmingham,11989,2017.0,nissan,altima sl,8 cylinders,gas,115528.0
birmingham,22990,2012.0,ford,f-150,6 cylinders,gas,122232.0
birmingham,63200,2020.0,gmc,yukon,8 cylinders,gas,24305.0
birmingham,22990,2016.0,ford,f150 regular cab xl pickup,6 cylinders,other,8172.0
birmingham,14990,2010.0,lexus,is 250 sport sedan 4d,6 cylinders,gas,82913.0
birmingham,27141,2019.0,ford,f-150 xl,8 cylinders,gas,70690.0
birmingham,39500,2016.0,chevrolet,silverado 1500,,gas,22331.0
birmingham,30900,2019.0,ford,f-150,,gas,41323.0
birmingham,17900,2020.0,toyota,corolla,,gas,40022.0
birmingham,15998,2019.0,toyota,corolla,,gas,40283.0
birmingham,9477,2012.0,toyota,camry,,gas,97927.0
birmingham,24977,2018.0,dodge,charger,,gas,22371.0
birmingham,39590,2017.0,toyota,tundra crewmax limited,8 cylinders,gas,19725.0
birmingham,20988,2015.0,nissan,titan sv,8 cylinders,gas,70835.0
birmingham,28590,2020.0,nissan,370z coupe 2d,6 cylinders,gas,2163.0
birmingham,10990,2012.0,volkswagen,golf tdi hatchback 4d,,diesel,91238.0
birmingham,10500,2016.0,nissan,altima 2.5 s,,gas,85000.0
birmingham,1000,2003.0,toyota,corolla,4 cylinders,gas,130000.0
birmingham,32250,2018.0,chevrolet,silverado,8 cylinders,gas,31000.0
birmingham,5200,1999.0,ford,f-150 lariat,,gas,194000.0
fairbanks,17499,2016.0,ford,fusion,4 cylinders,gas,54300.0
fairbanks,1000,1990.0,toyota,,,gas,
fairbanks,6000,2010.0,subaru,forester,,gas,
fairbanks,16999,2013.0,audi,q5,4 cylinders,gas,109671.0
fairbanks,13999,2008.0,chevrolet,silverado 1500 extended cab,8 cylinders,gas,131457.0
fairbanks,17999,2018.0,nissan,rogue sport,4 cylinders,gas,44303.0
fairbanks,15495,2012.0,bmw,x5,6 cylinders,gas,90739.0
fairbanks,18999,2013.0,audi,a4,4 cylinders,gas,64956.0
fairbanks,10999,2009.0,subaru,forester,4 cylinders,gas,84430.0
fairbanks,18999,2015.0,dodge,charger,6 cylinders,gas,101328.0
fairbanks,14695,2018.0,ford,focus,,gas,42448.0
fairbanks,48695,2019.0,chevrolet,tahoe,,gas,37427.0
fairbanks,12345,2003.0,acura,mdx,,gas,
fairbanks,8500,1976.0,ford,f-250,8 cylinders,gas,
new haven,9700,2014.0,ford,e250 cargo van,8 cylinders,gas,200000.0
new haven,2595,2004.0,saturn,ion,4 cylinders,gas,135.0
new haven,388,2002.0,dodge,neon,,gas,
new haven,10585,2010.0,audi,q5 quattro premium plus,6 cylinders,gas,97000.0
new haven,7700,2015.0,hyundai,sonata,4 cylinders,gas,128234.0
new haven,1900,2001.0,honda,odyssey,,gas,
new haven,3000,2004.0,honda,accord ex,4 cylinders,gas,177340.0
new haven,8500,2004.0,jeep,wrangler sahara,6 cylinders,gas,153000.0
new haven,6200,2005.0,infiniti,fx35,6 cylinders,gas,
new haven,10995,2003.0,ram,2500,8 cylinders,gas,166000.0
new haven,3100,2003.0,toyota,corolla,4 cylinders,gas,166000.0
new haven,8000,2013.0,jeep,patriot,,gas,90000.0
new haven,24590,2019.0,ford,f150 regular cab xl pickup,6 cylinders,gas,10090.0
new haven,15990,2013.0,ford,taurus limited sedan 4d,6 cylinders,gas,49840.0
new haven,21590,2017.0,ford,f150 regular cab xl pickup,6 cylinders,gas,44220.0
new haven,4000,2015.0,dodge,grand caravan,6 cylinders,gas,169000.0
new haven,12990,2015.0,ford,focus se hatchback 4d,,other,3166.0
new haven,2850,2003.0,toyota,camry le,4 cylinders,gas,165000.0
new haven,20800,2017.0,subaru,forester,4 cylinders,gas,24246.0
new haven,4000,2007.0,nissan,maxima se,6 cylinders,gas,
new haven,29995,2015.0,dodge,challenger rt scat pack,8 cylinders,gas,14382.0
new haven,11900,2014.0,toyota,camry,,gas,
new haven,18990,2018.0,ford,taurus sel sedan 4d,6 cylinders,other,7180.0
new haven,7998,2013.0,subaru,impreza,,gas,134106.0
new haven,10990,2009.0,jeep,grand cherokee laredo sport,6 cylinders,gas,85561.0
new haven,17990,2011.0,jeep,grand cherokee limited,8 cylinders,gas,82748.0
ft myers / SW florida,3500,1993.0,,1993 Mr2 NA,4 cylinders,gas,
ft myers / SW florida,12000,2002.0,jeep,wrangler,,gas,110317.0
ft myers / SW florida,10500,2011.0,mini,cooper s,4 cylinders,gas,44750.0
ft myers / SW florida,2495,2002.0,chevrolet,trailblazer lt,6 cylinders,gas,
ft myers / SW florida,26999,2020.0,chevrolet,bolt ev,,electric,5.0
ft myers / SW florida,2795,2005.0,honda,accord ex 2d coupe,4 cylinders,gas,184965.0
ft myers / SW florida,2595,2002.0,honda,odyssey ex,6 cylinders,gas,
ft myers / SW florida,14500,2017.0,volkswagen,passat,,gas,
ft myers / SW florida,3000,2006.0,nissan,titan xe,8 cylinders,gas,
ft myers / SW florida,26288,2017.0,chevrolet,colorado,,gas,41020.0
ft myers / SW florida,14000,2016.0,nissan,pathfinder,,gas,108070.0
ft myers / SW florida,44900,2018.0,audi,a5,4 cylinders,gas,34271.0
ft myers / SW florida,13000,1996.0,chevrolet,silverado 1500,8 cylinders,gas,
